x,alpha1_ref,rho_ref,u_ref,p_ref
1.431250000000000022e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.443750000000000033e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.456250000000000044e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.468750000000000056e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.481250000000000067e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.493750000000000078e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.506250000000000089e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.518750000000000100e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.531250000000000111e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.543750000000000122e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.556250000000000133e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.568750000000000144e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.581250000000000155e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.593750000000000167e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.606249999999999900e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.618749999999999911e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.631249999999999922e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.643749999999999933e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.656249999999999944e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
