x,y,z,g,g0
0.365132,0.00328947,0.348684,4.455953e-16,0
0.358553,0.00986842,0.348684,-2.368166e-17,0
0.361842,0.00328947,0.351974,-1.657499e-16,0
0.358553,0.00657895,0.351974,1.105287e-16,0
0.378289,0.00328947,0.348684,8.74288e-16,0
0.371711,0.00986842,0.348684,-4.357342e-16,0
0.375,0.00328947,0.351974,-1.765058e-17,0
0.371711,0.00657895,0.351974,3.307552e-17,0
0.391447,0.00328947,0.348684,1.151679e-15,0
0.384868,0.00986842,0.348684,-8.183519e-16,0
0.388158,0.00328947,0.351974,1.748716e-16,0
0.384868,0.00657895,0.351974,-1.027093e-16,0
0.404605,0.00328947,0.348684,1.193551e-15,0
0.398026,0.00986842,0.348684,-1.012111e-15,0
0.401316,0.00328947,0.351974,3.277257e-16,0
0.398026,0.00657895,0.351974,-2.42534e-16,0
0.417763,0.00328947,0.348684,1.140234e-15,0
0.411184,0.00986842,0.348684,-9.963526e-16,0
0.414474,0.00328947,0.351974,4.419655e-16,0
0.411184,0.00657895,0.351974,-3.617909e-16,0
0.430921,0.00328947,0.348684,8.400976e-16,0
0.424342,0.00986842,0.348684,-9.295065e-16,0
0.427632,0.00328947,0.351974,4.603559e-16,0
0.424342,0.00657895,0.351974,-4.577666e-16,0
0.444079,0.00328947,0.348684,1.534663e-16,0
0.4375,0.00986842,0.348684,-4.368821e-16,0
0.440789,0.00328947,0.351974,3.592955e-16,0
0.4375,0.00657895,0.351974,-4.333217e-16,0
0.457237,0.00328947,0.348684,-6.222941e-16,0
0.450658,0.00986842,0.348684,1.317571e-16,0
0.453947,0.00328947,0.351974,1.391683e-16,0
0.450658,0.00657895,0.351974,-1.263973e-16,0
0.470395,0.00328947,0.348684,-7.639848e-16,0
0.463816,0.00986842,0.348684,5.870159e-16,0
0.467105,0.00328947,0.351974,-6.593073e-17,0
0.463816,0.00657895,0.351974,3.31818e-16,0
0.483553,0.00328947,0.348684,-7.609024e-16,0
0.476974,0.00986842,0.348684,2.884319e-16,0
0.480263,0.00328947,0.351974,-1.494123e-16,0
0.476974,0.00657895,0.351974,4.848437e-16,0
0.496711,0.00328947,0.348684,-1.079293e-15,0
0.490132,0.00986842,0.348684,6.296581e-16,0
0.493421,0.00328947,0.351974,-1.939165e-16,0
