shape,axis,bin_lo,bin_hi,metric,n,median,rms,p90,p99,max
pyramid,smax,0,0.25,errC_prod,6,1.907726e-04,4.210589e-04,7.011124e-04,7.246235e-04,7.272358e-04
pyramid,smax,0,0.25,refconv_C,6,2.744471e-13,8.866032e-13,1.338332e-12,1.935017e-12,2.001316e-12
pyramid,smax,0.25,0.35355,errC_gauss,64,1.046015e-03,1.142316e-03,1.641256e-03,2.002619e-03,2.073336e-03
pyramid,smax,0.25,0.35355,errC_prod,64,3.540180e-04,4.557142e-04,6.885755e-04,1.099079e-03,1.219299e-03
pyramid,smax,0.25,0.35355,refconv_C,64,1.789680e-13,1.174128e-11,2.732542e-12,3.944701e-11,9.291073e-11
pyramid,smax,0.35355,0.5,errC_gauss,873,1.135406e-03,1.389284e-03,2.089212e-03,3.240042e-03,5.098717e-03
pyramid,smax,0.35355,0.5,errC_prod,873,1.685890e-04,4.802481e-04,7.242998e-04,1.823550e-03,2.918403e-03
pyramid,smax,0.35355,0.5,refconv_C,873,1.731948e-14,1.585082e-11,1.818068e-12,7.906280e-11,2.023694e-10
pyramid,smax,0.5,0.70711,errC_gauss,13603,1.382866e-03,1.677505e-03,2.533918e-03,3.911913e-03,8.156310e-03
pyramid,smax,0.5,0.70711,errC_prod,13603,1.491149e-04,3.762908e-04,5.311528e-04,1.451214e-03,4.683744e-03
pyramid,smax,0.5,0.70711,refconv_C,13603,1.021405e-14,2.167778e-10,6.437739e-13,7.697117e-11,1.774035e-08
pyramid,smax,0.70711,1,errC_gauss,37312,1.855854e-03,2.469886e-03,3.774426e-03,6.611664e-03,1.573156e-02
pyramid,smax,0.70711,1,errC_prod,37312,2.285449e-04,5.812702e-04,8.710665e-04,2.077459e-03,7.583549e-03
pyramid,smax,0.70711,1,refconv_C,37312,2.475797e-14,8.692855e-10,1.250079e-11,4.315401e-10,1.081184e-07
pyramid,smax,1,1.41421,errC_gauss,60426,3.005043e-03,4.452561e-03,7.246597e-03,1.168472e-02,2.347390e-02
pyramid,smax,1,1.41421,errC_prod,60426,4.359085e-04,9.512415e-04,1.427731e-03,3.253167e-03,1.206799e-02
pyramid,smax,1,1.41421,refconv_C,60426,1.757788e-12,9.317368e-09,2.361707e-10,6.319259e-09,1.236792e-06
